lintang, bujur, kelurahan
-6.487565592, 106.8579779, Cibinong
-6.470881476, 106.8547714, Cirimekar
-6.470565871, 106.8619622, Ciriung
-6.464813863, 106.8367785, Harapan Jaya
-6.513057125, 106.8099996, Karadenan
-6.502846628, 106.8430938, Nanggewer Mekar
-6.515203234, 106.8289715, Nanggewer
-6.462823193, 106.846682, Pabuaran
-6.441560124, 106.8476891, Pabuaran Mekar
-6.484589634, 106.8368872, Pakansari
-6.452260658, 106.8183831, Pondok Rajeg
-6.491262159, 106.8141296, Sukahati
-6.472460675, 106.8228359, Tengah
